3149190	Hirundo unicolor
2680267	Xiphidium modestum upoluense
1481442	Glossodoris cruenta
336664	Heterotropa nipponica
92246	Thioalkalimicrobium sibiricum
1442305	Enochrus (Lumetus) blazquezae
1294027	Tropheryma whipplei Slow2
269053	Timea sp. QMG313250
1071981	Galba fuscus
148275	uncultured hypersaline lake bacterium M6-22
1577745	Onuphis bihanica
2793785	Speyeria atlantis viola
413833	Rinodina radiata var. fimbriata
6515	Kentrodorididae
946325	Heteropholis tuberculatus
450135	Ctenitis decurrenti-pinnata
571869	Lophiotoma cf. indica NP-2008
35861	Polyphysa parvula
2760782	Oldenlandia argillacea
2917682	Scorzonera sosnovskyi
3046435	Ischnoptera cavernicola
864766	Arabidopsis petraea subsp. septentrionalis
591066	Populus x gansuensis
3231745	Adeorbis varius
2928836	Plectonema cyanophage Yong1
2558233	Protoparmeliopsis pseudogyrophorica
693419	Ugandan Passiflora virus
2953760	unclassified Fimivivens
148285	uncultured hypersaline lake bacterium M6-5
464368	Apantesis gibsoni
507607	Molossides floridanus
203116	Schizocypris curvifrons
449852	Lastreopsis glabella
521005	Haemophilus influenzae str. 7P49H1
2986139	Tangara punctata
1404245	Corynebacterium glyciniphilum ATCC 21341
185890	Human rhinovirus A8
3014701	Pycnogonum madagascariensis
204819	Gremmeniella abietina mitochondrial RNA virus S1
1196198	Blechnum binervatum
2815417	Cassia bifoliola
1516750	Arthropoda sp. JGP0736
3065524	Barosma foetidissima
2447927	Keijut pohjoismaissa virus-1
1415009	Borrelia sp. S07Cg055
2107718	Uredo melampyri
1690476	Leishmania braziliensis x peruviana
1987796	Bactrocera hamaceki
1341249	Dadica lineosa
58794	Chiton apiculatus
1633465	Brachyopsis rostratus
90549	Sarcozygium xanthoxylum
69962	Beijerinckia macrocytogenes
2508792	Simulium rufipes
907293	Asterotremella meifongana
56083	Picus carolinus
269081	Melandrium ostenfeldii
665965	Trigonella plana
2163887	Enterobacteria phage vB_EcoS_IME281
356978	Neocosmospora sp. NRRL 22470
356241	Plethodontohyla sp. AMNH A167315
226649	Influenza A virus (A/turkey/NC/11165/O2(H7N2))
483362	Teuthis lineatus
662031	Sertularia desmoides
3114810	Amblyseius chitradurgae
1770158	Sorbus megalocarpa
3147760	Cnemidophorus pyrrhogularis
77199	2,4-D degrading bacterium EML146
183910	Cyprinus richardsonii
329427	Actinea balii
451471	Mesothemis collocata
568691	Quercus pedunculiflora
207933	Amerorchis rotundifolia
241484	Margeana californiensis
589999	Rhaphiolepis malipoensis
34039	Salmonella banana
35625	Datura metel 'Alba'
1098629	Glyptapanteles Whitfield118
1109775	Eucelatoria Wood09
1303134	Glomeromycota sp. MIB 8859
159702	Monoptera filifolia
199165	Acacia viridiflora
2878006	Halorubrum virus HRTV-25
1282887	Lachnospira multipara DSM 3073
1410176	Epiphloeus terzonatus
210633	Barbus jerdoni
65619	Hypsiprymnodontinae
2816325	Ganoderma sp. Zizhi S2
112316	Nematus dolichurus
10468	Helicoverpa zea SNPV
1372999	Hydriomena callizona
197196	Cambarus obscurus
